SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Beresfield - Hexham,12,13,93,97,216,434,0,49,45,70,1035
Hamilton - Broadmeadow,155,60,560,174,191,281,0,24,33,99,1590
Lambton - New Lambton,202,78,767,301,311,394,0,44,45,106,2246
Maryland - Fletcher - Minmi,117,46,478,283,425,540,0,35,72,84,2085
Mayfield - Warabrook,171,52,681,302,398,500,4,51,56,128,2356
Merewether - The Junction,211,72,779,232,164,257,0,10,34,75,1834
Newcastle - Cooks Hill,229,65,750,148,147,229,0,15,41,139,1765
Newcastle Port - Kooragang,0,0,0,0,0,0,0,0,0,0,5
Shortland - Jesmond,158,28,349,124,190,362,3,51,54,83,1406
Stockton - Fullerton Cove,46,17,199,72,137,164,3,16,26,69,740
Wallsend - Elermore Vale,166,55,667,300,417,640,4,73,82,135,2537
Waratah - North Lambton,127,56,526,197,276,360,9,27,44,74,1686
Wickham - Carrington - Tighes Hill,133,45,528,182,178,256,0,14,27,83,1460
Ballina,64,45,384,203,310,393,0,50,50,156,1654
Ballina Region,75,48,440,239,303,377,0,27,42,142,1700
Bangalow,49,26,211,95,75,130,0,11,14,93,702
Brunswick Heads - Ocean Shores,45,34,267,164,152,215,0,9,39,117,1047
Byron Bay,89,48,445,203,159,266,0,12,46,242,1510
Evans Head,14,13,83,48,107,142,3,21,15,53,501
Lennox Head - Skennars Head,69,37,327,129,119,165,0,8,35,51,948
Mullumbimby,40,23,223,142,115,186,0,12,30,123,892
Casino,15,14,157,111,321,429,6,66,52,122,1288
Casino Region,5,9,83,67,146,193,3,33,22,67,628
Goonellabah,47,38,362,166,367,394,3,29,55,131,1594
Kyogle,12,15,106,73,134,210,0,4,27,57,640
Lismore,82,50,440,181,360,467,5,53,52,175,1862
Lismore Region,70,53,414,197,275,340,0,22,53,188,1614
Kingscliff - Fingal Head,76,51,427,240,239,329,4,13,25,114,1528
Murwillumbah,32,25,173,118,193,259,3,30,33,67,941
Murwillumbah Region,28,31,192,123,157,246,0,23,36,111,945
Pottsville,57,41,396,225,294,379,0,20,51,103,1574
Tweed Heads,65,47,400,304,339,558,3,45,87,195,2038
Banora Point,38,49,311,218,320,438,0,20,65,90,1553
Terranora - North Tumblegum,9,9,95,55,70,74,0,0,19,21,359
Tweed Heads South,18,11,108,104,158,209,0,33,30,70,732
Griffith (NSW),71,50,467,272,399,812,3,102,97,294,2565
Griffith Region,25,26,272,151,265,470,4,40,48,190,1492
Leeton,21,13,203,102,203,374,0,33,30,116,1087
Narrandera,9,13,113,62,127,178,0,33,15,80,625
Tumbarumba,10,14,40,30,75,112,0,7,3,32,319
Tumut,14,9,128,86,128,208,0,17,18,82,691
Tumut Region,13,7,86,64,91,129,0,20,30,49,485
Cootamundra,16,12,119,82,136,240,0,27,36,72,743
Gundagai,8,7,67,35,71,125,0,16,9,39,380
Junee,20,8,110,61,115,180,0,18,13,67,592
Temora,14,17,143,66,122,195,0,18,25,54,648
Wagga Wagga - East,96,63,545,254,423,511,0,47,62,114,2114
Wagga Wagga - North,33,21,206,69,99,109,0,8,19,30,602
Wagga Wagga - South,91,75,694,339,586,724,3,103,107,164,2874
