SA2,Did not provide child care,Cared for own child/children,Cared for other child/children,Cared for own child/children and other child/children,Not stated,Total
Centennial Park,0,0,0,0,0,0
Double Bay - Bellevue Hill,2577,1176,136,35,492,4413
Dover Heights,734,796,52,25,111,1715
Paddington - Moore Park,2186,739,131,26,376,3458
Rose Bay - Vaucluse - Watsons Bay,546,687,44,25,109,1418
Woollahra,741,409,67,5,116,1335
Coogee - Clovelly,3064,1489,193,63,473,5284
Malabar - La Perouse - Chifley,1127,1317,126,44,256,2877
Kensington (NSW),1444,581,70,12,204,2312
Kingsford,1401,645,59,23,136,2269
Maroubra - North,753,575,58,17,81,1477
Maroubra - South,851,633,70,29,155,1738
Maroubra - West,871,578,49,20,111,1640
Randwick - North,2177,1058,131,38,218,3634
Randwick - South,1612,727,81,24,257,2703
Bass Hill - Georges Hall,1035,1444,90,41,172,2788
Chullora,83,73,5,4,15,183
Condell Park,631,844,74,10,102,1665
Greenacre - Mount Lewis,1308,1709,118,48,255,3444
Padstow,919,1021,67,36,101,2143
Panania - Milperra - Picnic Point,1263,1849,123,80,171,3480
Revesby,979,1100,69,32,110,2295
Yagoona - Birrong,1202,1364,76,42,181,2859
Bankstown - North,1153,1236,80,22,237,2733
Bankstown - South,1083,1067,67,10,242,2461
Belmore - Belfield,1220,1199,108,38,159,2722
Canterbury (South) - Campsie,2811,1961,137,30,358,5293
Kingsgrove (North) - Earlwood,1245,1489,110,56,219,3114
Punchbowl,1238,1350,93,36,194,2910
Roselands,730,989,54,16,104,1896
Lakemba,922,1442,67,26,193,2643
Wiley Park,663,871,46,10,163,1750
Hurstville,2395,1472,73,18,222,4184
Mortdale - Penshurst,1792,1684,127,43,239,3887
Narwee - Beverly Hills,886,912,50,14,103,1976
Oatley - Hurstville Grove,643,827,53,36,56,1610
Peakhurst - Lugarno,743,1171,72,44,77,2113
Riverwood,804,639,60,18,106,1623
South Hurstville - Blakehurst,1811,1461,90,26,127,3516
Arncliffe - Bardwell Valley,2897,1219,117,22,372,4624
Bexley,1936,1820,107,41,240,4146
Kingsgrove (South) - Bardwell Park,720,783,62,26,84,1679
Kogarah,1167,831,61,15,129,2204
Kogarah Bay - Carlton - Allawah,1223,1106,76,23,132,2562
Monterey - Brighton-le-Sands - Kyeemagh,1043,870,67,18,199,2200
Rockdale - Banksia,2167,1221,88,24,250,3745
Sans Souci - Ramsgate,900,980,77,33,144,2135
Concord - Mortlake - Cabarita,1294,1390,96,36,149,2966
Concord West - North Strathfield,3280,1706,89,17,337,5432
Drummoyne - Rodd Point,1425,1150,108,36,242,2962
Five Dock - Abbotsford,1541,1374,114,48,230,3302
Balmain,1351,938,113,35,243,2674
Leichhardt - Annandale,2512,1836,183,78,402,5011
Lilyfield - Rozelle,1370,934,91,46,230,2672
Ashfield,2788,1360,137,38,343,4661
Burwood - Croydon,2659,1232,94,32,280,4294
Canterbury (North) - Ashbury,822,630,58,21,117,1654
Croydon Park - Enfield,1190,1088,108,43,120,2546
Dulwich Hill - Lewisham,1804,975,140,43,272,3237
Haberfield - Summer Hill,1159,770,83,37,131,2179
Homebush,1891,1167,57,14,356,3488
Strathfield,2480,1186,101,17,290,4079
Strathfield South,220,235,18,4,39,523
Chatswood (East) - Artarmon,2939,2137,125,37,366,5601
Chatswood (West) - Lane Cove North,2139,1519,131,49,224,4061
Lane Cove - Greenwich,1857,1717,121,78,208,3976
St Leonards - Naremburn,1504,720,76,10,202,2511
Willoughby - Castle Cove - Northbridge,1058,1772,92,64,144,3128
Asquith - Mount Colah,761,1414,70,54,84,2386
Berowra - Brooklyn - Cowan,399,847,44,67,39,1400
Normanhurst - Thornleigh - Westleigh,684,1316,54,50,73,2169
Hornsby - East,1269,1075,50,16,98,2505
Hornsby - West,557,788,44,25,100,1516
Waitara - Wahroonga (West),751,880,46,23,83,1775
Gordon - Killara,1024,1326,81,30,103,2561
Lindfield - Roseville,1077,1523,74,46,110,2825
Pymble,609,1108,25,45,64,1853
St Ives,685,1474,59,52,60,2329
Turramurra,578,1175,60,57,71,1938
Wahroonga (East) - Warrawee,649,1017,45,33,67,1803
Cremorne - Cammeray,2164,1189,139,41,250,3786
Crows Nest - Waverton,2686,1103,153,20,290,4249
Mosman,2059,1535,133,49,313,4089
Neutral Bay - Kirribilli,2670,843,157,23,359,4048
North Sydney - Lavender Bay,1538,440,71,12,243,2295
Balgowlah - Clontarf - Seaforth,878,1436,81,59,122,2576
Manly - Fairlight,2636,1192,172,52,375,4425
Avalon - Palm Beach,307,683,43,34,59,1121
Bayview - Elanora Heights,311,578,36,28,61,1005
Newport - Bilgola,475,824,53,38,48,1432
Warriewood - Mona Vale,964,1734,90,98,152,3038
Beacon Hill - Narraweena,541,941,69,30,73,1659
Cromer,272,505,40,27,40,878
Dee Why - North Curl Curl,2265,1817,180,55,311,4632
Forestville - Killarney Heights,378,896,61,48,44,1428
Frenchs Forest - Belrose,769,1738,74,82,64,2723
