SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Wingham,466,8,0,0,0,8,0,4,4,0,34,520
Albury - East,1844,42,9,3,31,14,69,22,14,0,108,2168
Albury - North,981,16,10,3,36,12,56,4,5,0,116,1249
Albury - South,928,24,11,7,15,24,67,7,9,0,93,1178
Albury Region,1025,25,0,0,12,7,4,4,6,5,103,1179
Lavington,1367,14,0,8,64,15,164,4,13,0,138,1787
Hay,232,8,0,0,3,0,7,0,0,0,45,293
Wentworth - Buronga,545,11,0,0,5,0,0,0,0,0,61,631
Wentworth-Balranald Region,322,3,0,0,7,9,0,5,0,0,40,392
Corowa,424,5,0,0,10,0,12,0,0,0,26,478
Corowa Region,537,6,4,0,10,6,3,0,0,0,68,635
Deniliquin,660,8,6,0,10,24,18,4,5,0,79,803
Deniliquin Region,522,6,0,0,19,0,0,3,4,0,62,613
Moama,548,6,0,0,13,3,13,3,10,0,43,640
Tocumwal - Finley - Jerilderie,763,9,3,0,24,3,17,5,10,0,115,955
Armidale,2003,52,15,88,105,74,153,37,39,4,198,2765
Armidale Region - North,392,16,0,0,8,22,3,6,0,0,41,484
Armidale Region - South,521,14,0,0,4,5,5,7,5,0,48,611
Walcha,264,5,0,0,0,5,0,0,0,0,38,307
Glen Innes,682,8,5,0,11,8,17,0,0,0,103,830
Inverell,1099,8,3,0,42,17,11,10,3,0,111,1307
Inverell Region - East,402,5,4,0,4,0,0,24,0,0,65,510
Inverell Region - West,486,11,0,0,7,4,0,0,0,0,60,574
Tenterfield,485,9,0,0,17,8,6,0,0,0,76,596
Moree,884,7,6,0,21,7,23,3,10,0,143,1110
Moree Region,518,17,0,0,5,0,0,4,9,0,97,651
Narrabri,746,15,5,0,11,5,12,0,6,0,90,891
Narrabri Region,453,3,0,0,5,0,0,0,3,0,87,550
Gunnedah,981,21,0,0,23,11,6,11,5,0,97,1154
Gunnedah Region,363,4,0,0,3,0,4,0,3,0,43,421
Quirindi,691,15,0,0,5,0,5,0,0,0,87,812
Tamworth - East,2138,16,0,3,71,58,31,5,13,0,169,2513
Tamworth - North,1594,26,7,6,61,27,74,13,25,0,142,1969
Tamworth - West,627,0,0,0,32,15,0,0,4,0,89,763
Tamworth Region,1746,39,4,0,10,4,8,3,9,0,174,2005
Belmont - Bennetts Green,1708,45,7,0,34,17,12,21,9,0,91,1955
Belmont South - Blacksmiths,511,4,3,0,4,8,4,3,4,0,29,574
Charlestown - Dudley,2822,85,17,7,90,47,38,39,25,0,153,3322
Glendale - Cardiff - Hillsborough,2768,60,23,8,73,25,45,25,21,0,101,3154
Mount Hutton - Windale,918,19,8,0,14,3,3,8,3,0,82,1079
Redhead,284,14,0,0,8,6,0,8,4,0,12,332
Swansea - Caves Beach,951,43,9,0,25,6,0,12,3,0,44,1102
Valentine - Eleebana,1059,45,10,4,16,13,11,11,9,0,20,1207
Warners Bay - Boolaroo,1320,58,5,0,24,20,13,13,16,0,61,1534
Bolton Point - Teralba,835,9,4,0,19,8,5,7,9,0,42,929
Bonnells Bay - Silverwater,845,19,8,0,13,8,6,8,7,0,30,954
Edgeworth - Cameron Park,1877,37,13,12,46,38,80,16,21,0,74,2206
Morisset - Cooranbong,1252,39,8,9,29,8,15,17,18,0,78,1486
Toronto - Awaba,1216,36,9,0,33,15,6,11,3,0,57,1390
Wangi Wangi - Rathmines,835,23,0,0,28,10,0,4,7,0,32,946
West Wallsend - Barnsley - Killingworth,810,10,0,0,4,0,3,0,0,0,49,885
Adamstown - Kotara,1828,83,20,5,51,38,23,27,15,0,55,2150
Beresfield - Hexham,876,6,0,0,18,61,7,3,4,0,56,1035
Hamilton - Broadmeadow,1275,62,17,4,33,30,28,34,15,0,83,1590
Lambton - New Lambton,1845,77,13,13,69,35,63,33,13,0,86,2246
Maryland - Fletcher - Minmi,1714,32,18,27,52,62,77,16,27,0,63,2085
Mayfield - Warabrook,1950,55,20,14,73,50,40,32,18,0,110,2356
