SA2,Never married,Widowed,Divorced,Separated,Married,Total
Macquarie Fields - Glenfield,1059,4,178,145,2209,3600
Minto - St Andrews,902,19,138,128,1776,2954
Rosemeadow - Glen Alpine,1134,11,156,160,1322,2779
Bargo,218,5,46,39,416,716
Douglas Park - Appin,335,4,54,38,902,1330
Picton - Tahmoor - Buxton,726,8,132,92,1216,2181
The Oaks - Oakdale,334,8,62,41,681,1126
Blackheath - Megalong Valley,247,0,41,24,241,562
Blaxland - Warrimoo - Lapstone,659,0,133,81,1378,2259
Blue Mountains - North,0,0,0,0,0,0
Katoomba - Leura,743,5,88,63,547,1442
Lawson - Hazelbrook - Linden,475,8,74,55,713,1317
Springwood - Winmalee,764,8,143,67,1493,2467
Wentworth Falls,228,4,38,18,299,586
Blue Mountains - South,0,0,0,0,0,0
Cambridge Park,958,10,155,95,1117,2327
Castlereagh - Cranebrook,1335,17,191,168,2238,3954
Emu Plains - Leonay,632,3,120,91,1165,2011
Glenmore Park - Regentville,911,12,216,154,1965,3253
Jamisontown - South Penrith,993,19,147,122,1256,2543
Kingswood - Werrington,1187,21,181,166,1669,3227
Mulgoa - Luddenham - Orchard Hills,353,6,68,29,926,1382
Penrith,938,13,142,94,798,1981
Warragamba - Silverdale,177,0,32,26,407,653
Richmond - Clarendon,736,10,160,79,815,1797
Windsor - Bligh Park,856,8,148,107,1041,2155
Yarramundi - Londonderry,341,0,47,31,519,942
Erskine Park,277,4,37,30,470,814
St Clair,1025,15,175,114,1578,2902
Colyton - Oxley Park,653,12,110,82,798,1657
St Marys - North St Marys,1029,10,150,151,1039,2376
Homebush Bay - Silverwater,1481,17,219,104,2493,4315
Rookwood Cemetery,0,0,0,0,0,0
Auburn - Central,566,11,118,99,1739,2534
Auburn - North,325,9,80,66,1370,1850
Auburn - South,276,0,63,59,794,1193
Berala,383,8,66,46,802,1307
Lidcombe,1179,10,147,72,1968,3377
Regents Park,178,5,34,36,429,682
Carlingford,933,12,149,84,2453,3636
Ermington - Rydalmere,922,16,178,79,2032,3236
Oatlands - Dundas Valley,814,6,143,73,1656,2687
Chester Hill - Sefton,609,7,202,149,1382,2353
Fairfield - East,590,12,183,135,1185,2107
Granville - Clyde,889,14,199,138,2193,3435
Greystanes - Pemulwuy,954,18,169,116,2611,3872
Guildford - South Granville,705,30,208,194,1942,3077
Guildford West - Merrylands West,855,17,195,187,1872,3123
Merrylands - Holroyd,1180,28,255,221,2902,4587
Smithfield Industrial,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0
North Parramatta,1494,5,229,133,2694,4560
North Rocks,206,3,35,14,701,963
Northmead,956,14,191,90,3247,4489
Parramatta - Rosehill,1628,19,257,155,5160,7217
Toongabbie - Constitution Hill,849,15,145,80,2043,3136
Winston Hills,353,10,65,30,1044,1497
Pendle Hill - Girraween,328,14,70,35,1664,2120
Wentworthville - Westmead,460,8,95,59,2219,2838
Epping - North Epping,1141,12,120,74,2581,3930
Pennant Hills - Cheltenham,563,4,69,42,1613,2293
Eastwood - Denistone,1275,12,143,75,2160,3661
Gladesville - Huntleys Point,832,0,98,41,1211,2180
Hunters Hill - Woolwich,331,5,51,18,657,1065
Macquarie Park - Marsfield,1621,11,131,70,2239,4070
North Ryde - East Ryde,494,0,62,25,1022,1595
West Ryde - Meadowbank,1323,18,156,85,2432,4016
Putney,130,0,13,8,281,431
Ryde,1624,11,214,102,2754,4698
Ashcroft - Busby - Miller,786,19,210,173,1020,2210
Austral - Greendale,329,4,50,39,603,1024
Cobbitty - Leppington,761,11,124,93,2152,3141
Badgerys Creek,0,0,0,0,5,6
Cecil Hills,250,0,54,32,569,913
Green Valley,506,12,120,107,970,1721
Hinchinbrook,451,3,99,90,1161,1810
Hoxton Park - Carnes Hill - Horningsea Park,410,12,86,93,1327,1921
West Hoxton - Middleton Grange,486,9,144,117,1817,2576
Bonnyrigg Heights - Bonnyrigg,741,11,203,97,1092,2139
Bossley Park - Abbotsbury,768,6,108,116,1294,2286
Cabramatta - Lansvale,1030,27,488,196,1890,3632
Cabramatta West - Mount Pritchard,764,20,232,127,1181,2324
Canley Vale - Canley Heights,863,25,350,152,1592,2971
Edensor Park,404,5,89,66,670,1240
Fairfield,793,21,192,147,1432,2583
Fairfield - West,791,22,230,150,1451,2634
Greenfield Park - Prairiewood,341,9,62,54,572,1038
Horsley Park - Kemps Creek,132,0,16,15,315,482
Smithfield - Wetherill Park,733,13,175,127,1316,2372
St Johns Park - Wakeley,518,13,92,71,706,1391
Wetherill Park Industrial,0,0,0,0,0,0
Casula,611,8,118,119,1388,2249
Chipping Norton - Moorebank,715,6,156,115,1818,2815
Holsworthy - Wattle Grove,818,8,154,101,2182,3259
Liverpool,1061,42,349,280,2697,4436
Lurnea - Cartwright,440,16,122,97,904,1590
Prestons - Edmondson Park,593,6,120,105,2013,2836
Warwick Farm,293,3,81,46,561,989
Gymea - Grays Point,675,8,105,62,1381,2233
Miranda - Yowie Bay,827,10,120,85,1450,2492
Sylvania - Taren Point,554,8,79,58,1105,1801
Caringbah,742,5,99,73,1008,1941
