SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Shellharbour - Flinders,109,129,441,759,31,197,3,589,2266
Shellharbour - Oak Flats,46,120,146,422,11,85,0,363,1195
Warilla,67,193,357,666,14,112,6,927,2335
Balgownie - Fairy Meadow,99,159,916,283,65,268,9,779,2575
Corrimal - Tarrawanna - Bellambi,63,122,644,220,75,245,4,607,1981
Figtree - Keiraville,105,153,1044,248,31,285,14,760,2627
Helensburgh,84,77,58,200,292,195,5,254,1177
Thirroul - Austinmer - Coalcliff,99,81,110,331,137,301,5,348,1409
Woonona - Bulli - Russell Vale,153,143,527,473,224,368,5,695,2582
Wollongong - East,20,494,332,166,35,247,6,712,2016
Wollongong - West,63,461,550,184,26,219,8,846,2355
Bulahdelah - Stroud,30,49,17,33,54,75,0,168,426
Forster,48,217,373,38,90,11,16,448,1237
Forster-Tuncurry Region,36,20,25,138,51,17,9,227,523
Tuncurry,11,83,100,8,35,0,3,168,407
Kempsey,45,169,391,102,25,30,5,767,1537
Kempsey Region,33,32,38,260,92,27,10,330,820
Macksville - Scotts Head,21,52,65,75,10,27,9,183,444
Nambucca Heads,19,88,58,70,30,5,6,270,541
Nambucca Heads Region,47,21,64,166,62,35,7,293,700
South West Rocks,18,64,51,15,88,7,4,163,415
Lord Howe Island,30,0,14,0,0,0,0,15,56
Laurieton - Bonny Hills,56,79,138,372,145,58,14,440,1299
Port Macquarie - East,161,285,1384,141,46,80,28,853,2971
Port Macquarie - West,64,251,751,69,35,28,17,565,1778
Port Macquarie Region,27,0,48,103,80,33,6,199,498
Wauchope,57,103,121,418,18,17,15,421,1171
Gloucester,26,73,65,44,4,18,6,190,425
Old Bar - Manning Point - Red Head,60,44,36,432,51,25,12,308,969
Taree,38,300,590,161,53,18,6,904,2077
Taree Region,56,29,39,236,151,42,10,406,976
Wingham,5,60,62,156,8,8,0,220,520
Albury - East,71,165,919,430,26,49,10,496,2168
Albury - North,32,116,500,131,15,15,3,439,1249
Albury - South,43,261,395,83,9,19,21,355,1178
Albury Region,76,117,44,347,127,94,4,370,1179
Lavington,40,146,624,218,16,24,20,703,1787
Hay,20,98,34,7,3,20,7,117,293
Wentworth - Buronga,27,42,161,127,14,15,9,244,631
Wentworth-Balranald Region,35,68,33,20,22,42,10,145,392
Corowa,11,125,74,28,40,40,0,151,478
Corowa Region,47,66,85,80,102,56,12,190,635
Deniliquin,16,266,239,4,0,23,5,248,803
Deniliquin Region,60,50,39,84,100,77,6,198,613
Moama,23,85,311,19,24,24,5,150,640
Tocumwal - Finley - Jerilderie,57,194,121,136,55,52,8,329,955
Armidale,63,571,954,80,44,23,32,999,2765
Armidale Region - North,38,74,22,59,77,37,0,171,484
Armidale Region - South,36,50,35,241,34,17,14,176,611
Walcha,19,60,19,16,26,36,0,119,307
Glen Innes,42,224,107,53,34,31,8,337,830
Inverell,46,329,373,14,4,28,7,493,1307
Inverell Region - East,35,23,15,107,59,30,8,235,510
Inverell Region - West,53,82,24,63,63,68,4,215,574
Tenterfield,33,124,47,64,24,48,4,256,596
