SA2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Total
The Basin,204,209,37,3,9,104,22,589
Donvale - Park Orchards,598,570,98,15,22,341,64,1704
Warrandyte - Wonga Park,318,348,49,12,17,162,31,928
Bayswater North,613,547,93,31,29,314,90,1718
Croydon Hills - Warranwood,730,801,123,30,46,346,62,2129
Ringwood,1071,781,116,79,66,608,117,2842
Ringwood East,1080,885,155,54,55,599,95,2918
Ringwood North,411,403,67,19,24,195,33,1159
Croydon - East,946,737,119,35,36,493,142,2511
Croydon - West,656,544,88,47,31,373,73,1812
Croydon South,255,238,35,8,13,137,28,723
Forest Hill,558,456,49,24,34,329,52,1503
Mitcham (Vic.),1077,733,123,59,44,491,94,2626
Nunawading,654,576,99,28,37,352,88,1836
Vermont,520,464,67,22,30,296,37,1439
Vermont South,478,349,54,29,29,284,25,1248
Belgrave - Selby,417,464,69,13,20,239,59,1290
Chirnside Park,424,419,80,19,22,236,37,1235
Healesville - Yarra Glen,481,610,83,20,27,322,95,1646
Kilsyth,436,426,68,9,20,265,60,1289
Lilydale - Coldstream,837,871,122,29,45,510,95,2507
Monbulk - Silvan,188,237,31,0,15,142,31,648
Montrose,300,304,49,6,11,134,35,842
Mooroolbark,1111,1048,149,54,42,629,101,3140
Mount Dandenong - Olinda,360,412,62,15,14,226,59,1144
Mount Evelyn,402,455,73,8,34,259,54,1284
Upwey - Tecoma,408,481,72,18,22,225,51,1289
Wandin - Seville,284,371,57,10,11,190,44,968
Yarra Valley,469,666,100,33,38,467,119,1892
Beaconsfield - Officer,795,652,104,32,26,351,75,2042
Bunyip - Garfield,253,357,58,9,13,185,63,927
Emerald - Cockatoo,650,825,119,26,32,388,135,2177
Koo Wee Rup,297,288,53,10,19,205,72,942
Pakenham - North,1024,972,130,58,94,796,171,3240
Pakenham - South,1395,1440,221,98,128,1158,217,4671
Berwick - North,969,893,131,49,50,529,95,2715
Berwick - South,1368,1340,165,82,92,972,137,4157
Doveton,379,288,32,64,56,659,116,1592
Hallam,466,353,53,65,23,492,50,1500
Narre Warren North,242,282,33,5,10,156,27,756
Endeavour Hills - North,540,396,66,44,45,418,74,1579
Endeavour Hills - South,599,426,86,33,43,493,80,1758
Narre Warren - North East,568,561,90,45,42,443,57,1805
Narre Warren - South West,682,531,92,47,57,615,97,2125
Cranbourne,858,718,125,109,64,845,180,2894
Cranbourne East,1918,1430,254,116,137,1042,227,5130
Cranbourne North,1125,1000,163,80,85,850,169,3463
Cranbourne South,399,405,73,14,12,220,57,1184
Cranbourne West,1009,789,154,82,61,724,139,2952
Hampton Park - Lynbrook,1063,770,137,131,100,1260,248,3713
Lynbrook - Lyndhurst,1061,721,130,71,57,635,140,2815
Pearcedale - Tooradin,300,373,52,6,24,168,56,967
Narre Warren South (East),578,586,63,32,36,404,54,1764
Narre Warren South (West),817,714,102,63,40,727,112,2576
Clarinda - Oakleigh South,571,404,67,31,33,298,48,1447
Clayton South,736,517,76,75,52,559,109,2123
Dandenong,1050,820,148,174,164,1906,413,4677
Dandenong North,939,700,130,99,92,888,151,2998
Dingley Village,445,402,47,15,15,193,36,1147
Keysborough,1668,901,172,98,79,959,133,4015
Noble Park North,352,249,42,30,15,301,42,1036
Springvale,910,703,97,129,72,1070,216,3202
Springvale South,656,370,52,64,40,579,70,1821
Noble Park - East,690,492,69,80,58,681,130,2199
Noble Park - West,894,582,105,116,90,970,147,2903
Ashwood - Chadstone,1194,783,133,68,62,618,218,3079
Clayton,1089,721,106,110,141,1110,195,3472
Glen Waverley - East,837,682,89,65,82,620,59,2431
Glen Waverley - West,920,663,102,79,79,637,102,2580
Mount Waverley - North,711,489,69,57,57,364,76,1819
Mount Waverley - South,909,694,114,64,56,493,90,2422
Mulgrave,1071,780,117,76,58,583,109,2796
Oakleigh - Huntingdale,1277,895,148,78,84,684,155,3320
Wheelers Hill,829,655,71,40,38,419,69,2123
Ardeer - Albion,390,310,49,55,46,377,101,1334
Cairnlea,532,396,53,33,44,385,60,1500
Deer Park - Derrimut,1564,1071,220,140,92,1332,264,4671
Delahey,363,257,58,51,32,332,53,1145
Keilor Downs,618,411,79,42,48,422,63,1687
Kings Park (Vic.),550,366,82,68,70,691,108,1931
St Albans - North,775,595,106,132,107,1037,252,3007
St Albans - South,643,528,84,90,78,805,177,2407
Sunshine,473,406,78,59,54,455,97,1619
Sunshine North,512,362,60,63,58,546,99,1697
Sunshine West,876,527,112,109,90,791,174,2680
Sydenham,671,485,82,68,57,426,113,1908
Taylors Lakes,727,517,94,46,46,404,71,1901
Altona,778,495,104,43,33,307,96,1860
Altona Meadows,1045,720,127,75,77,692,139,2884
Altona North,813,457,109,56,42,506,145,2120
Newport,1407,860,188,37,48,421,149,3120
Seabrook,290,171,30,23,27,203,46,790
Williamstown,708,528,88,36,27,338,111,1835
Braybrook,1186,715,131,115,97,817,206,3267
Footscray,1427,852,130,86,86,601,292,3480
Maribyrnong,1058,554,89,65,48,352,172,2332
Seddon - Kingsville,917,521,105,38,36,247,111,1976
West Footscray - Tottenham,867,638,107,66,41,352,146,2224
Yarraville,1380,748,159,35,39,392,172,2925
Bacchus Marsh,917,834,128,61,53,626,130,2753
Hillside,1334,1006,183,56,79,705,189,3552
Melton,766,606,101,89,82,886,172,2694
Melton South,1164,902,164,117,105,1077,231,3756
Melton West,883,744,132,70,73,803,179,2886
Rockbank - Mount Cottrell,56,57,11,9,4,284,38,455
Taylors Hill,1228,1043,167,53,82,823,137,3542
Burnside,227,156,24,14,18,185,22,650
Burnside Heights,393,311,49,20,25,329,52,1171
Caroline Springs,1234,975,145,95,65,765,169,3453
Hoppers Crossing - North,863,629,110,92,65,717,135,2611
Hoppers Crossing - South,841,645,99,95,95,861,140,2771
Laverton,663,379,77,63,52,449,108,1796
Tarneit,2352,1758,329,241,226,1902,367,7185
Truganina,1720,1051,249,172,135,1417,267,5010
Werribee - South,539,373,80,44,39,382,94,1550
Wyndham Vale,1399,1117,216,132,119,1179,213,4386
Point Cook - East,818,529,96,66,52,584,128,2276
Point Cook - North,1583,1145,174,121,135,1041,160,4361
Point Cook - South,1292,723,159,100,116,792,147,3318
Werribee - East,818,678,95,102,96,947,178,2912
Werribee - West,586,462,68,50,43,423,80,1711
Carrum Downs,1101,899,151,73,70,716,188,3188
Frankston,1032,882,169,85,79,733,263,3236
Frankston North,779,688,131,68,79,753,213,2712
Frankston South,695,748,114,29,33,314,64,1998
Langwarrin,1134,1147,174,41,56,556,138,3239
Seaford (Vic.),900,692,146,61,57,486,175,2518
Skye - Sandhurst,722,700,92,21,36,402,74,2047
Dromana,337,383,56,15,15,232,57,1094
Flinders,94,152,20,0,4,94,26,389
Hastings - Somers,685,871,142,44,75,638,164,2627
Mornington,889,981,142,26,52,477,114,2674
Mount Eliza,529,653,78,24,31,349,60,1719
Mount Martha,573,868,101,15,29,339,85,2004
Point Nepean,419,634,90,23,37,384,122,1707
Rosebud - McCrae,522,752,92,38,42,468,115,2032
Somerville,736,825,105,20,42,399,116,2249
Ararat,248,266,36,13,9,176,43,792
Ararat Region,91,102,18,5,0,55,39,312
Horsham,596,706,101,34,38,419,95,1987
Horsham Region,87,144,25,3,4,76,14,351
Nhill Region,172,202,28,11,10,166,29,612
St Arnaud,75,116,10,4,0,69,13,297
Stawell,266,238,50,14,7,210,60,850
West Wimmera,66,96,18,3,4,55,13,248
Yarriambiack,138,203,26,9,6,147,42,567
Irymple,212,293,42,11,13,127,47,738
Merbein,120,163,25,19,3,123,26,491
Mildura Region,95,120,14,10,9,78,22,354
Red Cliffs,160,191,47,18,15,184,54,665
Mildura - North,706,617,89,68,62,650,193,2388
Mildura - South,589,592,87,43,37,403,119,1871
Buloke,123,196,27,8,11,117,40,530
Gannawarra,160,221,23,3,13,141,34,583
Kerang,83,134,16,8,8,86,22,362
Robinvale,108,76,21,10,10,142,52,429
Swan Hill,436,400,56,18,23,290,122,1347
Swan Hill Region,161,197,28,9,8,146,82,626
Echuca,571,580,72,20,37,278,118,1673
Kyabram,326,401,70,18,27,253,83,1174
Lockington - Gunbower,104,121,22,0,6,94,34,385
Rochester,91,124,22,4,5,92,20,361
Rushworth,77,97,19,4,13,92,21,328
Cobram,162,211,30,14,12,166,47,645
Moira,64,71,16,6,7,61,13,241
Numurkah,373,431,69,16,20,276,64,1246
Yarrawonga,203,280,37,21,3,143,67,749
Mooroopna,303,289,47,29,21,230,58,979
Shepparton - North,828,690,111,45,51,560,197,2490
Shepparton - South,821,808,121,58,61,845,222,2934
Shepparton Region - East,116,136,18,3,3,85,23,392
Shepparton Region - West,328,367,64,21,13,233,88,1115
Glenelg (Vic.),198,286,37,21,6,188,58,800
Hamilton (Vic.),316,389,60,8,14,209,41,1028
Portland,265,411,72,19,22,313,84,1191
Southern Grampians,149,232,40,8,10,119,32,584
Camperdown,77,132,20,4,0,87,22,341
Colac,364,496,64,13,17,299,58,1307
Colac Region,152,207,26,5,4,107,31,535
Corangamite - North,126,178,24,4,12,112,34,490
Corangamite - South,208,234,44,13,12,142,45,691
Otway,93,112,25,4,0,72,28,334
Moyne - East,201,241,51,5,16,135,45,688
Moyne - West,301,381,53,15,18,191,62,1022
Warrnambool - North,736,984,141,46,49,515,147,2622
Warrnambool - South,483,543,94,26,16,285,111,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0
No Usual Address (Vic.),246,138,37,82,42,403,320,1271
Alexandra Hills,870,701,111,50,26,432,83,2279
Belmont - Gumdale,376,267,56,10,10,132,28,883
Birkdale,701,593,86,24,41,301,62,1812
Capalaba,951,709,111,55,54,407,65,2344
Thorneside,189,173,26,12,18,76,27,523
Wellington Point,493,458,69,23,30,194,46,1314
Cleveland,589,412,54,34,36,282,59,1464
Ormiston,227,186,33,13,12,99,12,579
Redland Bay,739,658,98,36,31,364,114,2034
Sheldon - Mount Cotton,524,415,71,14,19,177,40,1255
Thornlands,725,599,71,32,34,273,60,1799
Victoria Point,547,530,63,24,28,314,50,1558
Redland Islands,131,167,17,24,27,254,47,677
Brisbane Port - Lytton,0,0,0,0,0,0,0,0
Manly - Lota,336,267,46,17,29,148,36,871
Manly West,645,493,77,40,29,232,65,1579
Murarrie,301,178,45,12,14,98,36,686
Tingalpa,600,377,63,21,21,189,66,1341
Wakerley,637,486,78,21,27,222,53,1525
Wynnum,716,502,85,41,34,323,61,1765
Wynnum West - Hemmant,903,631,133,60,42,351,91,2208
Bald Hills,475,338,86,22,27,181,47,1165
Bridgeman Downs,347,279,40,19,15,135,24,858
Carseldine,546,340,77,17,28,177,47,1224
Everton Park,706,407,72,30,24,204,47,1497
McDowall,427,317,60,15,19,131,36,995
Aspley,658,439,93,21,30,244,53,1535
Chermside,704,394,80,41,33,294,112,1657
Chermside West,375,276,36,14,10,127,28,864
Geebung,296,196,43,5,7,75,30,650
Kedron - Gordon Park,1206,639,124,37,33,326,156,2521
Stafford,564,294,63,22,24,186,57,1211
Stafford Heights,398,261,70,11,13,149,40,941
Wavell Heights,751,470,92,24,30,223,57,1641
Boondall,512,346,83,42,26,229,39,1271
Brisbane Airport,8,0,0,0,0,11,0,23
Eagle Farm - Pinkenba,78,15,4,3,0,18,25,151
Northgate - Virginia,557,305,72,20,18,141,70,1190
Nudgee - Banyo,682,430,82,29,21,228,74,1547
Nundah,1343,555,101,66,44,320,153,2588
Bracken Ridge,998,719,133,56,56,425,91,2473
Brighton (Qld),542,395,82,27,11,194,51,1306
Deagon,215,156,24,10,7,80,26,526
Sandgate - Shorncliffe,264,245,38,17,18,132,37,739
Taigum - Fitzgibbon,924,533,106,41,50,404,104,2171
Zillmere,569,369,74,62,35,337,85,1537
Camp Hill,821,555,93,19,29,236,83,1843
Cannon Hill,446,276,55,21,13,142,103,1062
Carina,915,487,86,29,27,243,84,1871
Carina Heights,566,278,54,19,23,190,42,1174
Carindale,654,544,73,24,37,290,52,1687
Annerley,1008,569,86,52,52,355,163,2292
Coorparoo,1530,754,146,43,44,347,183,3045
Fairfield - Dutton Park,346,214,35,28,24,149,44,844
Greenslopes,921,489,96,49,41,213,99,1907
Holland Park,537,433,70,22,27,212,61,1361
Holland Park West,492,312,55,16,16,146,45,1074
Woolloongabba,444,243,43,17,33,178,114,1076
Yeronga,692,378,67,26,17,194,102,1467
Eight Mile Plains,916,694,91,83,70,621,88,2559
Macgregor (Qld),280,248,22,35,19,237,32,874
Mansfield (Qld),409,356,45,46,31,212,53,1145
Mount Gravatt,1022,698,146,55,35,403,139,2489
Rochedale - Burbank,386,297,40,16,19,185,25,968
Upper Mount Gravatt,539,372,82,49,32,313,76,1466
Wishart,558,456,72,35,41,279,56,1490
Coopers Plains,303,244,32,20,25,244,54,927
Moorooka,772,461,115,35,30,283,82,1791
Robertson,233,192,24,22,30,226,36,764
Salisbury - Nathan,446,349,70,22,28,163,62,1134
Tarragindi,642,512,108,29,17,213,62,1579
Algester,511,380,67,40,26,271,43,1339
Calamvale - Stretton,1372,987,143,113,87,924,179,3802
Pallara - Willawong,325,218,50,24,11,122,33,783
Parkinson - Drewvale,1014,739,120,58,54,475,66,2529
Rocklea - Acacia Ridge,468,295,51,64,55,352,94,1385
Kuraby,406,307,34,26,30,362,41,1209
Runcorn,801,700,92,80,114,707,99,2596
Sunnybank,384,439,29,61,33,413,67,1429
Sunnybank Hills,936,748,101,90,79,732,133,2809
Jindalee - Mount Ommaney,401,297,50,19,17,139,22,953
Middle Park - Jamboree Heights,380,303,56,19,22,191,22,983
Riverhills,300,201,27,10,9,110,26,677
Seventeen Mile Rocks - Sinnamon Park,509,438,71,22,20,211,30,1293
Westlake,166,150,30,9,11,78,5,456
Bellbowrie - Moggill,552,426,62,18,23,239,48,1370
Brookfield - Kenmore Hills,186,194,14,13,13,111,22,549
Chapel Hill,429,396,68,27,35,245,37,1239
Fig Tree Pocket,139,146,16,6,5,98,14,426
Kenmore,422,346,71,14,34,183,22,1087
Pinjarra Hills - Pullenvale,207,176,20,0,11,91,11,524
Chelmer - Graceville,356,328,52,11,20,163,23,957
Corinda,272,182,27,18,4,112,27,646
Indooroopilly,699,427,67,75,37,442,98,1837
Sherwood,369,253,45,15,15,124,55,870
St Lucia,399,274,30,43,54,584,96,1491
Taringa,718,326,63,46,40,280,68,1534
Enoggera,627,367,76,21,17,195,80,1395
Enoggera Reservoir,0,0,0,0,0,3,0,7
Keperra,376,285,67,25,15,211,31,1023
Mitchelton,587,433,81,20,21,233,46,1421
Mount Coot-tha,0,0,0,0,0,0,0,0
The Gap,736,691,106,40,35,282,87,1978
Upper Kedron - Ferny Grove,528,462,98,20,43,255,38,1439
Brisbane City,842,400,59,69,71,452,192,2090
Fortitude Valley,920,352,55,45,37,210,239,1853
Highgate Hill,443,315,36,21,31,172,95,1111
Kangaroo Point,851,336,58,54,43,192,126,1663
New Farm,1460,466,93,42,28,236,323,2644
South Brisbane,650,344,56,37,59,291,132,1568
Spring Hill,486,382,38,38,69,242,141,1393
West End,919,398,52,36,44,259,210,1912
Balmoral,337,184,33,19,4,95,57,722
Bulimba,589,255,51,21,22,158,100,1197
East Brisbane,555,271,44,17,22,133,88,1134
Hawthorne,366,260,38,12,6,131,26,851
Morningside - Seven Hills,1381,663,136,47,37,299,179,2750
Norman Park,530,297,66,21,17,125,73,1130
Albion,322,120,22,11,10,64,53,594
Alderley,513,292,60,15,15,116,51,1059
Ascot,350,175,33,16,17,118,43,745
Clayfield,950,390,69,43,27,283,114,1871
Grange,269,221,34,4,14,82,26,648
Hamilton (Qld),566,205,37,35,12,135,134,1130
Hendra,271,163,37,7,5,100,31,618
Kelvin Grove - Herston,655,348,78,41,67,474,152,1824
Newmarket,380,211,39,19,20,117,43,823
Newstead - Bowen Hills,1576,384,86,48,32,217,360,2700
Wilston,273,177,28,0,12,78,34,608
Windsor,690,373,62,23,23,162,73,1405
Wooloowin - Lutwyche,847,432,72,31,39,254,116,1789
Ashgrove,740,577,88,26,26,247,92,1802
Auchenflower,502,209,46,28,24,125,74,1004
Bardon,569,424,73,9,19,210,52,1362
Paddington - Milton,1089,481,109,34,24,238,120,2097
Red Hill (Qld),547,259,53,20,15,149,88,1129
Toowong,925,446,75,41,46,329,143,2004
Brinsmead,331,226,44,9,11,125,41,785
Clifton Beach - Kewarra Beach,534,443,75,33,30,256,104,1471
Freshwater - Stratford,213,146,21,3,12,85,33,520
Redlynch,740,570,93,28,32,287,97,1855
Trinity Beach - Smithfield,904,614,106,51,35,353,146,2202
Yorkeys Knob - Machans Beach,290,241,38,24,16,127,100,847
Bentley Park,504,347,55,47,41,232,86,1316
Cairns City,756,491,77,53,50,341,387,2153
Earlville - Bayview Heights,381,337,45,23,22,181,77,1068
Edmonton,560,461,60,36,30,355,115,1624
Gordonvale - Trinity,394,326,61,28,25,219,70,1118
Kanimbla - Mooroobool,522,397,75,33,24,263,113,1428
Lamb Range,0,0,0,0,0,0,0,0
Manoora,276,220,36,44,34,266,165,1038
Manunda,233,181,34,29,27,209,122,825
Mount Sheridan,492,332,64,25,29,221,57,1222
Westcourt - Bungalow,326,239,30,39,25,214,127,1005
White Rock,250,168,21,15,7,174,70,708
Whitfield - Edge Hill,428,341,42,20,18,165,70,1091
Woree,212,166,21,21,16,161,78,687
Babinda,144,129,22,14,10,88,29,440
Innisfail,280,279,42,35,28,293,127,1079
Johnstone,228,316,32,16,11,201,66,875
Tully,365,319,63,28,17,250,111,1151
Wooroonooran,0,0,0,0,0,0,0,0
Yarrabah,44,29,9,46,8,160,8,305
Daintree,259,222,26,12,14,142,98,777
Port Douglas,352,213,25,10,9,82,140,827
Atherton,337,391,55,28,32,257,69,1161
Herberton,95,127,17,15,12,164,72,500
Kuranda,144,137,26,9,4,134,38,492
Malanda - Yungaburra,228,259,41,28,11,174,42,787
Mareeba,416,364,49,45,32,281,137,1310
Balonne,169,201,17,9,9,104,40,548
Chinchilla,310,306,56,38,15,271,119,1113
Goondiwindi,309,274,37,14,6,138,87,866
Inglewood - Waggamba,132,155,15,3,10,108,35,467
Miles - Wandoan,182,133,15,3,8,104,55,504
Roma,466,269,44,12,13,161,120,1081
Roma Region,255,208,30,7,3,118,46,668
Tara,95,93,14,17,9,129,82,423
Crows Nest - Rosalie,236,238,34,25,13,236,53,841
Jondaryan,276,234,42,16,14,199,47,834
Millmerran,94,110,7,11,9,89,35,352
Pittsworth,194,198,20,13,9,124,35,585
Wambo,669,620,98,47,33,497,129,2093
Clifton - Greenmount,162,164,29,8,14,128,39,531
Southern Downs - East,132,130,24,4,9,89,26,401
Southern Downs - West,112,115,26,10,8,115,25,407
Stanthorpe,128,215,30,9,10,146,30,575
Stanthorpe Region,135,184,34,11,13,155,22,553
Warwick,478,493,69,49,44,443,75,1646
Central Highlands - East,332,250,52,27,30,314,113,1113
Central Highlands - West,293,308,70,11,19,219,117,1039
Emerald,670,647,103,44,51,430,238,2183
Berserker,288,215,46,30,37,219,61,892
Bouldercombe,76,60,11,7,3,51,11,214
Emu Park,141,181,23,34,17,151,34,573
Frenchville - Mount Archer,452,337,47,22,28,208,54,1146
Glenlee - Rockyview,198,181,26,10,9,58,24,515
Gracemere,570,491,78,62,48,414,104,1775
Lakes Creek,239,174,17,25,28,139,38,660
Mount Morgan,50,53,10,17,9,110,24,273
Norman Gardens,541,445,63,35,27,241,79,1435
Park Avenue,224,175,36,30,18,142,35,658
Parkhurst - Kawana,329,295,35,22,28,188,53,947
Rockhampton - West,285,188,43,22,22,170,41,763
Rockhampton City,121,75,10,14,11,105,30,374
Rockhampton Region - East,98,100,21,9,4,72,25,338
Rockhampton Region - North,143,134,22,11,8,79,29,439
Rockhampton Region - West,115,88,21,7,5,67,26,328
Shoalwater Bay,0,0,0,0,0,0,0,0
The Range - Allenstown,381,243,42,24,22,136,82,927
Yeppoon,750,661,104,49,49,383,133,2139
Banana,348,328,48,19,10,212,78,1042
Biloela,288,251,41,16,8,166,59,819
Agnes Water - Miriam Vale,122,183,25,16,16,154,53,564
Boyne Island - Tannum Sands,393,441,65,46,54,337,82,1420
Callemondah,0,0,0,0,0,0,0,0
Clinton - New Auckland,689,554,94,97,63,600,115,2214
Gladstone,262,168,13,45,26,220,103,833
Gladstone Hinterland,460,449,64,47,51,387,131,1589
Kin Kora - Sun Valley,174,157,20,21,17,120,22,538
South Trees,0,0,0,0,0,0,0,0
Telina - Toolooa,297,274,38,39,35,236,69,993
West Gladstone,202,144,17,27,23,163,60,638
Broadbeach Waters,382,312,45,12,25,146,60,985
Burleigh Heads,553,383,62,28,25,166,137,1351
Burleigh Waters,722,691,90,23,30,267,69,1891
Mermaid Beach - Broadbeach,928,557,103,60,30,243,244,2166
Mermaid Waters,640,511,82,32,37,286,112,1705
Miami,537,391,78,22,22,148,91,1285
Coolangatta,299,213,27,12,21,110,87,758
Currumbin - Tugun,541,550,86,19,37,239,132,1609
Currumbin Waters,316,402,56,23,25,183,42,1047
Elanora,463,489,70,22,24,283,62,1408
Palm Beach,821,720,102,37,37,363,155,2233
Arundel,424,404,48,38,36,268,83,1301
Biggera Waters,469,324,45,35,42,253,128,1299
Coombabah,388,385,49,26,30,259,77,1214
Labrador,803,694,100,79,81,611,231,2596
Paradise Point - Hollywell,397,304,46,9,15,176,56,1008
Runaway Bay,353,245,42,28,16,167,45,885
Guanaba - Springbrook,156,170,23,8,4,170,46,583
Tamborine - Canungra,452,519,89,27,26,299,112,1523
Currumbin Valley - Tallebudgera,223,304,35,13,20,143,43,783
Mudgeeraba - Bonogin,808,878,116,26,43,476,132,2478
Reedy Creek - Andrews,457,412,65,14,27,200,58,1231
Carrara,587,523,71,30,36,287,82,1613
Highland Park,383,384,54,23,15,197,55,1115
Nerang - Mount Nathan,961,918,133,62,69,557,147,2843
Pacific Pines - Gaven,1034,942,127,67,84,585,166,2994
Worongary - Tallai,295,287,35,16,20,176,49,878
Coomera,783,595,85,63,67,547,165,2297
Helensvale,761,679,81,37,39,357,122,2077
Hope Island,482,333,48,23,22,219,110,1238
Jacobs Well - Alberton,152,125,26,8,8,76,16,412
Ormeau - Yatala,1126,968,150,56,67,574,174,3119
Oxenford - Maudsland,830,819,97,33,53,413,144,2404
Pimpama,529,413,77,37,49,418,189,1718
Upper Coomera - Willow Vale,1834,1605,256,106,110,1063,307,5277
Clear Island Waters,157,114,10,4,5,79,27,394
Merrimac,372,361,62,24,20,175,60,1070
Robina,1076,952,118,66,70,632,170,3074
Varsity Lakes,884,723,98,53,65,505,160,2480
Ashmore,501,502,68,21,39,287,86,1506
Molendinar,308,269,40,23,21,177,45,881
Parkwood,356,322,40,21,33,218,60,1048
Southport - North,690,579,97,74,87,569,221,2317
Southport - South,836,652,83,74,58,541,171,2418
Benowa,319,316,13,10,27,202,69,958
Bundall,216,168,13,12,17,82,46,559
Main Beach,200,101,26,8,11,66,67,485
Surfers Paradise,1141,1148,123,125,125,655,617,3937
Darra - Sumner,278,193,35,16,11,194,91,828
Durack,369,277,51,47,23,296,110,1164
Forest Lake - Doolandella,1729,1121,202,128,91,875,225,4372
Inala - Richlands,550,537,100,106,72,922,287,2560
Oxley (Qld),543,357,87,26,15,198,97,1321
Wacol,90,72,7,22,18,389,22,613
Boonah,404,414,58,29,23,282,90,1306
Esk,109,124,21,5,9,146,41,455
Lake Manchester - England Creek,0,0,0,0,0,0,0,0
Lockyer Valley - East,658,620,83,83,63,620,169,2300
Lowood,481,476,62,59,43,460,127,1706
Rosewood,437,374,57,41,27,280,79,1302
Brassall,554,396,65,48,50,367,74,1562
Bundamba,399,276,57,49,24,326,96,1233
Churchill - Yamanto,354,278,44,33,29,235,47,1011
Ipswich - Central,284,196,22,28,22,178,70,810
Ipswich - East,740,619,91,84,53,624,168,2382
Ipswich - North,250,170,26,4,11,102,25,587
Karalee - Barellan Point,291,220,41,11,3,106,24,703
Karana Downs,320,263,27,13,16,130,29,798
Leichhardt - One Mile,268,205,46,59,28,371,122,1102
North Ipswich - Tivoli,265,231,33,29,19,225,52,852
Raceview,805,591,106,60,62,507,95,2219
Ripley,344,214,43,12,12,122,56,809
Riverview,79,70,11,31,11,131,41,365
Bellbird Park - Brookwater,984,674,122,51,63,405,127,2423
Camira - Gailes,455,321,49,39,22,257,74,1230
Carole Park,0,0,0,0,0,0,0,0
Collingwood Park - Redbank,423,307,42,42,29,333,68,1241
Goodna,477,331,61,71,51,497,163,1648
New Chum,0,0,0,0,0,0,0,0
Redbank Plains,1008,674,156,162,76,858,198,3130
Springfield,463,296,53,25,18,215,49,1126
Springfield Lakes,1387,800,157,77,77,569,133,3201
Beaudesert,432,438,53,47,42,444,108,1566
Beenleigh,317,247,46,57,35,310,88,1105
Eagleby,442,353,60,87,69,564,123,1702
Edens Landing - Holmview,429,291,58,31,26,327,62,1215
Mount Warren Park,293,195,31,24,22,173,49,781
Wolffdene - Bahrs Scrub,306,243,44,15,15,141,39,809
Boronia Heights - Park Ridge,528,395,62,54,45,416,85,1584
Browns Plains,388,256,47,54,35,299,80,1160
Chambers Flat - Logan Reserve,234,160,22,13,16,159,47,644
Crestmead,559,396,64,77,45,545,147,1836
Greenbank Military Camp,0,0,0,0,0,0,0,0
Hillcrest,404,322,63,41,24,243,44,1137
Marsden,618,475,77,79,57,672,232,2211
Munruben - Park Ridge South,197,149,28,11,11,105,23,511
Regents Park - Heritage Park,867,602,114,61,52,533,111,2343
Greenbank,698,502,87,31,39,338,62,1756
Jimboomba,1421,1032,218,73,73,710,216,3741
Logan Village,307,226,31,14,6,171,60,829
Bethania - Waterford,573,383,81,40,32,335,104,1549
Cornubia - Carbrook,457,302,54,17,15,151,48,1040
Loganholme - Tanah Merah,654,522,89,39,34,303,95,1737
Loganlea,439,347,50,70,46,432,139,1527
Shailer Park,650,464,75,31,29,292,60,1597
Waterford West,289,245,34,44,24,299,59,1001
Daisy Hill,394,297,41,20,27,170,34,980
Kingston (Qld.),308,237,51,69,44,486,158,1346
Logan Central,138,110,17,46,23,380,55,777
Rochedale South - Priestdale,915,754,116,37,46,438,78,2389
Slacks Creek,477,284,62,63,55,456,93,1499
Springwood,528,355,64,30,29,249,87,1345
Underwood,380,285,54,33,31,267,48,1094
Woodridge,357,281,56,89,75,796,110,1764
Bowen,382,297,57,38,20,246,100,1142
Broadsound - Nebo,371,295,62,27,28,281,184,1244
Clermont,197,133,31,6,11,106,59,546
Collinsville,137,99,11,18,8,78,60,398
Moranbah,509,390,85,37,40,345,173,1592
Andergrove - Beaconsfield,758,602,101,76,71,426,91,2119
East Mackay,165,133,10,15,8,86,32,452
Eimeo - Rural View,660,589,107,71,61,384,124,1999
Eungella Hinterland,0,0,0,0,0,0,0,0
Mackay,174,121,13,30,24,118,76,558
Mackay Harbour,31,11,3,5,0,6,14,68
Mount Pleasant - Glenella,489,442,66,38,26,246,48,1356
North Mackay,258,210,27,38,18,163,53,767
Ooralea - Bakers Creek,249,194,32,13,25,138,54,705
Pioneer Valley,301,363,61,30,35,276,81,1147
Sarina,412,395,55,36,45,342,129,1420
Seaforth - Calen,222,267,39,22,23,181,66,825
Shoal Point - Bucasia,262,264,35,41,29,188,46,863
Slade Point,123,122,24,16,14,105,17,425
South Mackay,308,261,34,38,32,180,50,900
Walkerston - Eton,322,329,59,17,24,190,66,1015
West Mackay,281,213,41,16,21,145,60,777
Airlie - Whitsundays,941,529,91,39,27,249,395,2284
Cape Conway,0,0,0,0,0,0,0,0
Proserpine,287,329,47,25,20,163,74,943
Beachmere - Sandstone Point,417,399,73,59,55,377,100,1470
Bribie Island,354,357,52,44,33,334,50,1238
Burpengary - East,177,145,24,9,10,83,18,467
Caboolture,1000,989,128,143,120,1022,260,3667
Caboolture - South,758,753,109,115,104,986,194,3025
Elimbah,182,147,28,11,15,91,23,496
Morayfield - East,384,305,43,43,32,337,56,1201
