SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Noble Park North,14,125,22,94,74,75,96,110,114,113,67,45,12,11,4,53,1036
Springvale,41,609,98,316,258,206,298,304,301,219,119,82,48,39,18,260,3202
Springvale South,16,291,60,146,152,120,183,231,193,153,71,60,14,11,7,112,1821
Noble Park - East,18,388,78,168,141,146,209,221,228,197,114,69,27,21,11,156,2199
Noble Park - West,41,468,102,272,203,205,288,349,300,243,113,69,24,18,6,198,2903
Ashwood - Chadstone,23,337,98,172,159,143,196,233,309,366,230,183,136,175,74,256,3079
Clayton,31,774,114,180,173,243,296,264,302,349,219,152,73,64,19,223,3472
Glen Waverley - East,13,422,112,165,134,141,169,177,188,247,178,138,77,158,36,77,2431
Glen Waverley - West,20,464,107,158,114,114,187,227,229,280,175,139,84,107,43,127,2580
Mount Waverley - North,5,243,78,122,94,111,111,138,131,205,152,112,78,107,42,90,1819
Mount Waverley - South,14,342,74,142,126,116,148,196,222,284,195,167,97,137,45,109,2422
Mulgrave,13,348,103,161,125,146,224,219,297,314,223,224,90,116,47,145,2796
Oakleigh - Huntingdale,17,408,99,181,152,179,237,273,329,387,297,226,112,171,53,196,3320
Wheelers Hill,9,264,74,125,108,105,145,161,217,251,192,133,82,103,36,110,2123
Ardeer - Albion,13,164,43,107,86,97,128,145,133,107,76,55,19,24,3,131,1334
Cairnlea,12,198,63,106,87,90,114,150,181,163,114,63,34,42,9,76,1500
Deer Park - Derrimut,30,581,177,391,280,307,423,469,504,470,300,198,88,73,23,349,4671
Delahey,15,131,42,115,78,71,118,119,131,122,58,32,17,8,5,80,1145
Keilor Downs,19,156,75,104,108,104,152,173,217,196,123,71,47,37,6,94,1687
Kings Park (Vic.),24,275,76,211,154,150,177,216,192,147,88,45,16,9,9,146,1931
St Albans - North,36,512,97,274,258,220,281,325,263,195,117,62,22,22,12,295,3007
St Albans - South,36,386,89,238,182,174,213,263,220,180,93,53,22,21,11,224,2407
Sunshine,10,223,73,135,137,117,151,118,163,132,93,65,34,42,12,118,1619
Sunshine North,9,241,61,184,121,121,143,181,160,135,91,55,28,27,8,124,1697
Sunshine West,21,359,117,238,206,175,208,262,239,280,144,101,47,46,14,203,2680
Sydenham,12,266,69,127,117,102,163,197,222,212,112,81,41,31,11,149,1908
Taylors Lakes,16,225,75,139,95,93,157,172,202,246,152,87,47,70,24,110,1901
Altona,9,181,53,110,70,83,132,131,168,241,168,153,85,107,48,121,1860
Altona Meadows,20,317,92,193,190,165,255,274,325,344,230,152,72,55,22,176,2884
Altona North,13,231,62,140,111,101,140,171,208,212,193,168,73,99,18,172,2120
Newport,5,199,68,131,112,130,167,206,274,349,320,277,196,335,157,175,3120
Seabrook,4,116,22,51,40,50,67,53,88,83,63,39,22,29,3,61,790
Williamstown,0,172,58,99,64,82,91,116,147,189,178,134,91,176,106,129,1835
Braybrook,22,401,119,252,192,188,245,265,312,354,235,178,101,122,25,255,3267
Footscray,17,326,89,207,167,191,276,262,338,399,335,217,125,163,37,329,3480
Maribyrnong,11,213,73,94,118,105,142,203,226,291,231,172,90,122,49,188,2332
Seddon - Kingsville,0,119,41,89,68,83,117,143,174,217,220,185,128,196,70,130,1976
West Footscray - Tottenham,4,196,55,117,121,126,155,210,240,228,176,148,104,123,32,179,2224
Yarraville,12,170,67,108,103,123,169,187,273,310,293,306,175,293,152,194,2925
Bacchus Marsh,7,228,116,191,185,195,264,283,320,266,220,140,76,65,27,166,2753
Hillside,9,345,136,208,189,195,313,377,399,436,316,206,107,64,17,235,3552
Melton,15,251,116,213,207,229,312,301,316,245,139,66,25,33,6,239,2694
Melton South,23,381,127,259,240,294,397,433,431,388,234,129,66,58,18,290,3756
Melton West,20,257,105,205,185,208,351,309,312,310,186,86,53,36,15,245,2886
Rockbank - Mount Cottrell,0,22,9,20,12,14,22,28,20,13,6,3,6,0,0,286,455
Taylors Hill,25,437,148,239,176,216,304,313,394,413,250,172,101,117,39,195,3542
Burnside,4,90,27,55,39,46,43,71,67,74,50,31,12,13,4,32,650
Burnside Heights,9,166,44,88,63,71,105,130,140,108,64,58,36,30,6,69,1171
Caroline Springs,19,405,132,222,167,186,287,327,366,357,279,210,119,114,34,221,3453
Hoppers Crossing - North,15,333,122,200,176,172,275,267,277,276,153,82,54,36,10,165,2611
Hoppers Crossing - South,27,398,122,264,172,199,275,304,293,241,139,76,42,41,4,181,2771
Laverton,8,273,62,123,90,105,117,163,201,190,119,91,51,68,19,125,1796
Tarneit,50,1165,263,511,427,417,597,783,863,679,424,258,141,128,22,458,7185
Truganina,29,881,199,315,255,290,364,452,555,555,315,220,113,112,24,334,5010
Werribee - South,3,160,47,122,95,105,128,161,171,168,101,70,38,44,13,125,1550
Wyndham Vale,30,549,188,336,253,290,409,495,509,489,255,173,89,60,11,270,4386
Point Cook - East,15,372,89,126,124,103,153,150,233,220,169,137,80,117,34,155,2276
Point Cook - North,25,683,203,256,228,192,315,412,424,426,320,284,164,168,40,219,4361
Point Cook - South,9,574,130,164,131,148,232,270,312,384,243,217,119,155,42,188,3318
Werribee - East,21,362,146,283,222,227,299,273,308,248,146,67,35,42,10,237,2912
Werribee - West,5,171,65,146,107,98,179,172,216,203,107,60,27,40,4,106,1711
Carrum Downs,13,246,109,230,202,222,332,435,406,377,186,112,41,34,17,230,3188
Frankston,10,209,109,229,221,275,337,349,343,327,235,145,60,54,15,319,3236
Frankston North,10,152,94,238,205,246,330,328,320,251,134,75,35,33,6,257,2712
Frankston South,3,129,58,132,115,116,175,200,197,254,167,155,87,81,31,93,1998
Langwarrin,6,203,114,209,191,216,354,383,403,362,264,170,88,55,22,207,3239
Seaford (Vic.),12,186,88,147,136,191,215,256,257,302,228,136,74,68,19,195,2518
Skye - Sandhurst,5,182,89,123,113,132,181,214,232,246,165,113,73,56,27,97,2047
Dromana,0,59,46,76,74,77,117,128,120,120,90,47,31,23,11,66,1094
