SA2,Fully engaged,Partially engaged,At least partially engaged,Not Engaged,Engagement status undetermined/Not Stated,Total
Bass Hill - Georges Hall,930,606,105,984,159,2788
Chullora,87,24,10,41,16,183
Condell Park,608,350,64,557,86,1665
Greenacre - Mount Lewis,1068,667,137,1347,227,3444
Padstow,1074,472,99,414,87,2143
Panania - Milperra - Picnic Point,1577,928,171,648,157,3480
Revesby,1069,477,106,560,84,2295
Yagoona - Birrong,1074,519,100,1006,160,2859
Bankstown - North,1020,435,91,973,215,2733
Bankstown - South,857,441,70,879,222,2461
Belmore - Belfield,1173,589,119,689,148,2722
Canterbury (South) - Campsie,2527,1010,162,1286,306,5293
Kingsgrove (North) - Earlwood,1416,804,151,545,203,3114
Punchbowl,945,529,110,1153,174,2910
Roselands,766,427,68,530,94,1896
Lakemba,741,439,48,1248,160,2643
Wiley Park,563,299,44,685,151,1750
Hurstville,2139,758,128,961,195,4184
Mortdale - Penshurst,1930,858,179,700,214,3887
Narwee - Beverly Hills,898,439,70,478,97,1976
Oatley - Hurstville Grove,771,442,74,279,43,1610
Peakhurst - Lugarno,914,617,111,405,70,2113
Riverwood,705,322,67,426,97,1623
South Hurstville - Blakehurst,1743,776,128,744,124,3516
Arncliffe - Bardwell Valley,2635,748,165,743,338,4624
Bexley,1973,928,157,883,208,4146
Kingsgrove (South) - Bardwell Park,814,407,70,319,74,1679
Kogarah,1173,420,88,422,107,2204
Kogarah Bay - Carlton - Allawah,1276,565,107,484,122,2562
Monterey - Brighton-le-Sands - Kyeemagh,1019,476,123,397,187,2200
Rockdale - Banksia,1961,751,155,669,217,3745
Sans Souci - Ramsgate,984,524,99,384,137,2135
Concord - Mortlake - Cabarita,1537,664,131,509,129,2966
Concord West - North Strathfield,2979,896,221,1012,324,5432
Drummoyne - Rodd Point,1622,607,137,374,228,2962
Five Dock - Abbotsford,1774,671,186,455,213,3302
Balmain,1505,469,135,332,241,2674
Leichhardt - Annandale,2867,1011,265,488,383,5011
Lilyfield - Rozelle,1537,493,124,293,221,2672
Ashfield,2596,868,152,736,304,4661
Burwood - Croydon,2369,807,128,744,248,4294
Canterbury (North) - Ashbury,870,379,75,224,104,1654
Croydon Park - Enfield,1282,604,92,453,116,2546
Dulwich Hill - Lewisham,1918,591,145,325,256,3237
Haberfield - Summer Hill,1255,456,85,258,124,2179
Homebush,1722,547,123,767,326,3488
Strathfield,2196,709,124,791,246,4079
Strathfield South,264,97,16,111,30,523
Chatswood (East) - Artarmon,3010,921,199,1147,320,5601
Chatswood (West) - Lane Cove North,2360,741,183,565,205,4061
Lane Cove - Greenwich,2234,818,174,549,195,3976
St Leonards - Naremburn,1562,350,114,301,187,2511
Willoughby - Castle Cove - Northbridge,1421,803,158,619,133,3128
Asquith - Mount Colah,1032,780,120,389,66,2386
Berowra - Brooklyn - Cowan,619,472,65,202,41,1400
Normanhurst - Thornleigh - Westleigh,996,625,114,376,58,2169
Hornsby - East,1249,494,116,573,79,2505
Hornsby - West,693,388,61,289,89,1516
Waitara - Wahroonga (West),876,362,70,402,72,1775
Gordon - Killara,1286,496,98,587,89,2561
Lindfield - Roseville,1361,732,94,539,96,2825
Pymble,897,471,72,347,64,1853
St Ives,1050,633,87,501,60,2329
Turramurra,890,574,81,326,63,1938
Wahroonga (East) - Warrawee,886,432,87,337,63,1803
Cremorne - Cammeray,2399,565,198,391,236,3786
Crows Nest - Waverton,2757,614,198,395,283,4249
Mosman,2210,779,157,645,295,4089
Neutral Bay - Kirribilli,2717,519,144,341,328,4048
North Sydney - Lavender Bay,1491,254,84,235,228,2295
Balgowlah - Clontarf - Seaforth,1160,714,126,462,115,2576
Manly - Fairlight,2712,710,192,462,350,4425
Avalon - Palm Beach,416,401,49,205,53,1121
Bayview - Elanora Heights,429,327,48,152,56,1005
Newport - Bilgola,595,498,68,233,46,1432
Warriewood - Mona Vale,1325,1050,126,404,132,3038
Beacon Hill - Narraweena,707,558,80,238,70,1659
Cromer,364,319,47,117,35,878
Dee Why - North Curl Curl,2503,1031,202,616,279,4632
Forestville - Killarney Heights,591,471,60,271,38,1428
Frenchs Forest - Belrose,1159,946,152,414,51,2723
Freshwater - Brookvale,2100,872,197,452,244,3863
Manly Vale - Allambie Heights,1093,746,131,340,93,2399
Narrabeen - Collaroy,1763,946,184,431,187,3515
Terrey Hills - Duffys Forest,134,126,22,53,22,351
Camden - Ellis Lane,706,495,82,241,44,1565
Elderslie - Harrington Park,1433,900,173,528,117,3150
Mount Annan - Currans Hill,2182,1352,283,791,178,4783
Bradbury - Wedderburn,1061,634,107,840,152,2793
Campbelltown - Woodbine,1164,542,113,708,167,2694
Claymore - Eagle Vale - Raby,1211,654,106,799,174,2946
Holsworthy Military Area,0,0,0,0,0,0
Ingleburn - Denham Court,1232,603,120,827,188,2965
Leumeah - Minto Heights,1040,514,84,598,115,2356
Macquarie Fields - Glenfield,1419,722,116,1119,223,3600
Minto - St Andrews,1208,579,107,930,130,2954
Rosemeadow - Glen Alpine,1044,599,122,815,194,2779
Bargo,274,232,35,133,36,716
Douglas Park - Appin,582,414,78,199,60,1330
Picton - Tahmoor - Buxton,841,623,122,460,126,2181
The Oaks - Oakdale,488,352,49,193,44,1126
Blackheath - Megalong Valley,195,199,20,108,41,562
Blaxland - Warrimoo - Lapstone,1032,700,107,359,62,2259
Blue Mountains - North,0,0,0,0,0,0
Katoomba - Leura,524,443,53,316,105,1442
Lawson - Hazelbrook - Linden,525,400,68,267,50,1317
Springwood - Winmalee,1137,759,121,391,65,2467
Wentworth Falls,230,167,27,139,29,586
Blue Mountains - South,0,0,0,0,0,0
Cambridge Park,1033,577,104,505,103,2327
Castlereagh - Cranebrook,1833,912,234,782,197,3954
Emu Plains - Leonay,849,579,108,290,184,2011
Glenmore Park - Regentville,1550,935,151,492,123,3253
Jamisontown - South Penrith,1125,677,121,481,134,2543
Kingswood - Werrington,1433,720,147,760,170,3227
Mulgoa - Luddenham - Orchard Hills,622,360,75,227,91,1382
Penrith,933,384,87,439,136,1981
Warragamba - Silverdale,268,196,26,140,28,653
Richmond - Clarendon,813,447,61,370,103,1797
Windsor - Bligh Park,896,546,102,507,106,2155
Yarramundi - Londonderry,315,227,37,135,227,942
Erskine Park,404,201,23,162,33,814
St Clair,1339,662,122,621,146,2902
Colyton - Oxley Park,668,331,76,460,124,1657
St Marys - North St Marys,903,449,86,730,208,2376
Homebush Bay - Silverwater,2121,634,169,785,611,4315
Rookwood Cemetery,0,0,0,0,0,0
Auburn - Central,879,389,67,1043,151,2534
Auburn - North,707,323,44,655,125,1850
Auburn - South,431,189,33,480,56,1193
Berala,563,232,33,440,44,1307
Lidcombe,1677,620,104,790,191,3377
Regents Park,261,125,17,234,39,682
Carlingford,1678,805,125,908,114,3636
Ermington - Rydalmere,1474,703,142,771,146,3236
Oatlands - Dundas Valley,1220,571,108,658,133,2687
Chester Hill - Sefton,855,421,64,854,157,2353
Fairfield - East,666,339,65,854,180,2107
Granville - Clyde,1322,620,103,1120,264,3435
Greystanes - Pemulwuy,1681,980,183,856,171,3872
Guildford - South Granville,946,453,101,1283,302,3077
Guildford West - Merrylands West,1176,585,116,1054,189,3123
Merrylands - Holroyd,1843,835,170,1523,223,4587
Smithfield Industrial,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0
North Parramatta,2266,725,136,1046,386,4560
North Rocks,416,265,44,215,16,963
Northmead,2153,764,189,1067,318,4489
Parramatta - Rosehill,3327,1004,221,2024,649,7217
Toongabbie - Constitution Hill,1490,676,128,689,159,3136
Winston Hills,700,469,82,225,26,1497
Pendle Hill - Girraween,884,429,72,614,124,2120
Wentworthville - Westmead,1254,527,83,847,129,2838
Epping - North Epping,2030,815,119,853,117,3930
Pennant Hills - Cheltenham,1111,621,108,398,59,2293
Eastwood - Denistone,1863,788,129,749,133,3661
Gladesville - Huntleys Point,1203,480,89,290,128,2180
Hunters Hill - Woolwich,530,260,44,179,58,1065
Macquarie Park - Marsfield,2421,606,148,707,187,4070
North Ryde - East Ryde,859,373,67,251,48,1595
West Ryde - Meadowbank,2215,763,172,721,145,4016
Putney,212,126,17,69,11,431
Ryde,2448,912,207,878,246,4698
Ashcroft - Busby - Miller,566,320,57,1030,242,2210
Austral - Greendale,361,235,45,297,93,1024
Cobbitty - Leppington,1446,718,207,561,203,3141
Badgerys Creek,0,0,0,0,3,6
Cecil Hills,432,188,33,212,39,913
Green Valley,718,327,54,545,72,1721
Hinchinbrook,752,386,74,511,78,1810
Hoxton Park - Carnes Hill - Horningsea Park,863,418,73,496,77,1921
West Hoxton - Middleton Grange,1101,640,116,597,126,2576
Bonnyrigg Heights - Bonnyrigg,824,408,67,735,110,2139
Bossley Park - Abbotsbury,964,492,87,660,79,2286
Cabramatta - Lansvale,1265,691,110,1357,204,3632
Cabramatta West - Mount Pritchard,876,431,86,783,149,2324
Canley Vale - Canley Heights,1125,547,87,1054,165,2971
Edensor Park,506,256,32,396,48,1240
Fairfield,958,399,67,1004,149,2583
Fairfield - West,959,458,84,1000,136,2634
Greenfield Park - Prairiewood,414,207,37,350,38,1038
Horsley Park - Kemps Creek,194,110,33,109,34,482
Smithfield - Wetherill Park,946,446,78,785,117,2372
St Johns Park - Wakeley,639,239,39,420,52,1391
Wetherill Park Industrial,0,0,0,0,0,0
Casula,924,473,93,620,144,2249
Chipping Norton - Moorebank,1236,678,144,635,120,2815
Holsworthy - Wattle Grove,1557,814,169,592,123,3259
Liverpool,1493,694,108,1560,579,4436
Lurnea - Cartwright,496,257,56,632,146,1590
Prestons - Edmondson Park,1236,631,114,746,111,2836
Warwick Farm,334,129,34,347,145,989
Gymea - Grays Point,1009,734,113,307,71,2233
Miranda - Yowie Bay,1151,706,116,401,110,2492
Sylvania - Taren Point,773,527,88,324,84,1801
Caringbah,914,521,119,268,117,1941
Caringbah South,543,499,68,186,38,1339
Cronulla - Kurnell - Bundeena,2019,824,187,411,300,3745
Lilli Pilli - Port Hacking - Dolans Bay,139,101,20,43,11,310
Woolaware - Burraneer,437,281,45,112,32,909
Heathcote - Waterfall,323,272,34,118,12,758
Illawong - Alfords Point,565,319,37,175,26,1125
Menai - Lucas Heights - Woronora,1128,833,117,347,71,2488
Oyster Bay - Como - Jannali,1154,938,148,373,82,2697
Royal National Park,7,4,0,0,5,8
Sutherland - Kirrawee,1746,870,194,483,149,3440
Engadine,1019,897,120,288,38,2368
Loftus - Yarrawarrah,390,359,50,95,21,925
Woronora Heights,174,134,12,54,6,390
Migratory - Offshore - Shipping (NSW),15,6,10,3,5,34
No Usual Address (NSW),493,185,54,520,455,1716
Alfredton,617,571,94,291,53,1626
Ballarat,646,419,66,247,82,1456
Ballarat - North,1155,931,157,612,158,3018
Ballarat - South,1211,957,151,790,213,3323
Buninyong,276,278,54,125,48,783
Delacombe,332,328,52,188,51,945
Smythes Creek,145,161,25,80,18,441
Wendouree - Miners Rest,558,589,97,489,127,1859
Bacchus Marsh Region,255,204,30,148,47,685
