SA2,Not a volunteer,Volunteer,Not stated,Total
Dover Heights,1278,323,114,1715
Paddington - Moore Park,2336,741,377,3458
Rose Bay - Vaucluse - Watsons Bay,962,341,113,1418
Woollahra,917,303,120,1335
Coogee - Clovelly,3720,1094,467,5284
Malabar - La Perouse - Chifley,2128,494,254,2877
Kensington (NSW),1693,415,199,2312
Kingsford,1721,416,132,2269
Maroubra - North,1081,315,85,1477
Maroubra - South,1241,348,151,1738
Maroubra - West,1216,313,110,1640
Randwick - North,2707,709,218,3634
Randwick - South,1946,508,255,2703
Bass Hill - Georges Hall,2263,352,167,2788
Chullora,138,21,16,183
Condell Park,1371,186,100,1665
Greenacre - Mount Lewis,2727,463,257,3444
Padstow,1685,354,99,2143
Panania - Milperra - Picnic Point,2641,660,174,3480
Revesby,1796,384,114,2295
Yagoona - Birrong,2343,318,200,2859
Bankstown - North,2210,271,247,2733
Bankstown - South,1988,230,244,2461
Belmore - Belfield,2208,347,168,2722
Canterbury (South) - Campsie,4378,565,354,5293
Kingsgrove (North) - Earlwood,2362,527,221,3114
Punchbowl,2403,303,207,2910
Roselands,1547,240,106,1896
Lakemba,2201,256,196,2643
Wiley Park,1402,187,155,1750
Hurstville,3530,432,221,4184
Mortdale - Penshurst,3018,627,238,3887
Narwee - Beverly Hills,1565,305,101,1976
Oatley - Hurstville Grove,1201,361,48,1610
Peakhurst - Lugarno,1581,453,81,2113
Riverwood,1292,229,101,1623
South Hurstville - Blakehurst,2897,484,131,3516
Arncliffe - Bardwell Valley,3714,555,361,4624
Bexley,3362,538,243,4146
Kingsgrove (South) - Bardwell Park,1316,278,81,1679
Kogarah,1829,243,131,2204
Kogarah Bay - Carlton - Allawah,2036,391,129,2562
Monterey - Brighton-le-Sands - Kyeemagh,1682,318,207,2200
Rockdale - Banksia,3073,431,248,3745
Sans Souci - Ramsgate,1663,326,152,2135
Concord - Mortlake - Cabarita,2249,580,148,2966
Concord West - North Strathfield,4302,788,343,5432
