SA2,Nil hours,Less than 5 hours,5 to 14 hours,15 to 29 hours,30 hours or more,Not stated,Total
Wangi Wangi - Rathmines,66,103,328,209,200,33,946
West Wallsend - Barnsley - Killingworth,87,109,275,180,201,37,885
Adamstown - Kotara,156,375,706,439,410,53,2150
Beresfield - Hexham,153,144,275,171,232,57,1035
Hamilton - Broadmeadow,106,345,519,293,235,90,1590
Lambton - New Lambton,179,379,729,456,413,99,2246
Maryland - Fletcher - Minmi,181,255,702,465,407,72,2085
Mayfield - Warabrook,250,479,807,380,330,117,2356
Merewether - The Junction,100,450,637,315,260,78,1834
Newcastle - Cooks Hill,162,554,610,178,128,133,1765
Newcastle Port - Kooragang,0,0,0,0,0,0,5
Shortland - Jesmond,286,266,350,205,225,74,1406
Stockton - Fullerton Cove,61,116,214,146,145,55,740
Wallsend - Elermore Vale,295,360,843,449,479,111,2537
Waratah - North Lambton,173,299,585,287,275,67,1686
Wickham - Carrington - Tighes Hill,97,371,534,213,177,65,1460
Ballina,147,267,539,296,280,125,1654
Ballina Region,119,207,517,338,402,118,1700
Bangalow,37,120,206,145,117,79,702
Brunswick Heads - Ocean Shores,61,175,348,161,208,94,1047
Byron Bay,131,415,383,198,154,234,1510
Evans Head,27,59,142,93,123,57,501
Lennox Head - Skennars Head,46,159,325,189,176,48,948
Mullumbimby,56,110,237,171,208,116,892
Casino,157,100,378,233,306,110,1288
Casino Region,58,40,177,116,172,66,628
Goonellabah,125,230,476,309,331,120,1594
Kyogle,52,56,173,135,169,56,640
Lismore,156,279,591,324,341,167,1862
Lismore Region,79,165,482,359,374,158,1614
Kingscliff - Fingal Head,104,216,474,321,299,104,1528
Murwillumbah,69,110,294,175,246,48,941
Murwillumbah Region,50,97,272,208,226,94,945
Pottsville,119,164,465,323,406,94,1574
Tweed Heads,212,292,633,365,356,181,2038
Banora Point,149,208,480,322,322,76,1553
Terranora - North Tumblegum,19,40,97,102,80,18,359
Tweed Heads South,100,101,227,94,145,60,732
Griffith (NSW),421,295,684,432,480,252,2565
Griffith Region,127,134,406,300,362,165,1492
Leeton,120,103,320,200,252,93,1087
Narrandera,68,52,156,131,157,74,625
Tumbarumba,22,30,93,59,89,28,319
Tumut,59,50,207,142,165,64,691
Tumut Region,41,36,130,106,125,44,485
Cootamundra,81,92,192,159,161,56,743
Gundagai,42,35,93,80,96,29,380
Junee,47,66,157,125,134,59,592
Temora,53,39,176,134,193,43,648
Wagga Wagga - East,186,261,714,411,437,99,2114
Wagga Wagga - North,41,109,183,126,110,36,602
Wagga Wagga - South,278,373,941,554,592,137,2874
Wagga Wagga - West,219,262,542,234,263,130,1651
Wagga Wagga Region,96,165,482,353,439,135,1672
Berry - Kangaroo Valley,26,102,247,136,152,61,735
Callala Bay - Currarong,21,46,66,78,62,18,297
Culburra Beach,40,35,125,86,97,43,424
Ettrema - Sassafras - Budawang,0,4,0,0,0,0,3
Huskisson - Vincentia,26,72,143,83,92,26,438
North Nowra - Bomaderry,140,222,522,325,387,103,1698
Nowra,270,251,709,448,529,204,2411
St Georges Basin - Erowal Bay,100,149,396,272,323,72,1322
Sussex Inlet - Berrara,23,32,67,59,67,25,280
Tomerong - Wandandian - Woollamia,18,26,120,84,64,25,333
Ulladulla,108,150,424,278,307,80,1349
Ulladulla Region,27,33,125,78,87,37,391
Bowral,77,145,295,217,228,53,1013
Hill Top - Colo Vale,52,84,246,141,199,41,758
Mittagong,56,112,330,156,200,63,918
Moss Vale - Berrima,75,156,333,213,234,92,1113
Robertson - Fitzroy Falls,17,34,109,76,78,32,346
Southern Highlands,33,65,175,130,124,30,550
Baulkham Hills (East),410,548,1045,673,723,115,3517
Baulkham Hills (West) - Bella Vista,328,470,679,462,517,76,2539
Glenhaven,35,98,149,117,133,23,560
West Pennant Hills,167,302,369,261,256,41,1391
Castle Hill - Central,111,203,353,230,197,49,1153
Castle Hill - East,56,71,126,93,91,7,449
Castle Hill - North,173,202,360,272,273,47,1332
Castle Hill - South,159,230,381,230,255,44,1306
Castle Hill - West,104,126,183,110,136,19,680
Cherrybrook,251,344,588,402,416,49,2050
Kellyville,341,515,1026,667,723,109,3388
Dural - Kenthurst - Wisemans Ferry,184,339,634,406,498,119,2186
Galston - Laughtondale,36,79,158,95,143,20,524
Bilpin - Colo - St Albans,17,30,86,60,59,32,282
Kurrajong Heights - Ebenezer,163,302,781,531,621,160,2562
Pitt Town - McGraths Hill,94,186,456,288,287,62,1373
Rouse Hill - Beaumont Hills,365,416,1014,788,717,139,3430
Blacktown (East) - Kings Park,697,419,802,450,657,195,3216
Blacktown (North) - Marayong,526,423,698,434,550,121,2749
Doonside - Woodcroft,737,485,892,499,661,174,3449
Lalor Park - Kings Langley,447,565,1057,640,657,171,3544
Seven Hills - Toongabbie,646,473,946,611,699,191,3571
Blacktown (South),337,253,463,287,387,113,1837
Blacktown (West),491,322,599,361,483,131,2389
Glenwood,333,361,648,504,522,63,2432
Parklea - Kellyville Ridge,673,809,1889,1156,1193,266,5976
Riverstone - Marsden Park,342,389,860,565,565,199,2914
Acacia Gardens,72,97,195,115,139,22,643
Quakers Hill,498,539,1131,742,802,150,3856
Bidwill - Hebersham - Emerton,632,252,494,310,528,275,2497
Glendenning - Dean Park,250,168,357,215,291,56,1340
Hassall Grove - Plumpton,604,437,711,467,600,175,2996
Lethbridge Park - Tregear,657,357,738,455,645,322,3165
Mount Druitt - Whalan,904,403,679,451,753,253,3445
Prospect Reservoir,0,0,0,0,0,7,6
Rooty Hill - Minchinbury,663,406,759,442,591,174,3038
Banksmeadow,0,3,0,0,0,0,7
Botany,197,360,554,286,234,145,1772
Mascot - Eastlakes,1026,915,1223,499,516,312,4481
Pagewood - Hillsdale - Daceyville,306,282,435,239,259,141,1672
Port Botany Industrial,0,0,0,0,0,0,0
Sydney Airport,4,0,4,0,0,12,18
Marrickville,589,1641,1630,521,439,461,5283
Petersham - Stanmore,422,1470,1406,424,278,441,4439
Sydenham - Tempe - St Peters,223,415,511,160,144,116,1560
Darlinghurst,378,949,662,116,61,421,2583
Erskineville - Alexandria,409,1576,1447,328,225,343,4321
Glebe - Forest Lodge,554,1445,1197,301,247,420,4165
Newtown - Camperdown - Darlington,636,2009,1670,414,252,514,5489
