SA2,Very well,Well,Not well,Not at all,Not stated - both language (LANP) and proficiency (ENGP) not stated,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Not applicable,Total
Laurieton - Bonny Hills,35,14,0,0,64,0,1183,1299
Port Macquarie - East,126,34,10,4,109,0,2684,2971
Port Macquarie - West,98,41,18,0,97,0,1519,1778
Port Macquarie Region,10,0,0,0,50,0,438,498
Wauchope,27,11,0,0,69,0,1065,1171
Gloucester,13,6,0,0,27,0,383,425
Old Bar - Manning Point - Red Head,34,16,4,0,28,0,885,969
Taree,82,34,11,0,95,0,1844,2077
Taree Region,22,3,3,0,69,0,881,976
Wingham,17,0,0,0,31,0,471,520
Albury - East,108,51,4,0,90,0,1918,2168
Albury - North,56,43,19,5,108,3,1016,1249
Albury - South,93,38,11,0,87,0,948,1178
Albury Region,27,5,0,0,80,0,1067,1179
Lavington,127,94,43,14,114,3,1391,1787
Hay,11,8,0,0,33,0,238,293
Wentworth - Buronga,15,0,0,0,64,0,551,631
Wentworth-Balranald Region,20,11,5,0,40,0,320,392
Corowa,11,11,0,0,18,0,434,478
Corowa Region,10,6,0,0,52,0,563,635
Deniliquin,17,19,15,0,62,0,681,803
Deniliquin Region,9,13,0,0,46,0,534,613
Moama,19,17,0,0,38,0,568,640
Tocumwal - Finley - Jerilderie,30,25,4,0,92,0,803,955
Armidale,279,174,48,3,175,0,2082,2765
Armidale Region - North,12,11,10,0,29,0,422,484
Armidale Region - South,13,3,0,0,30,0,553,611
Walcha,6,5,0,0,28,0,270,307
Glen Innes,29,11,0,0,68,0,719,830
Inverell,37,32,10,5,76,0,1147,1307
Inverell Region - East,7,4,5,0,55,0,446,510
Inverell Region - West,7,3,3,0,50,0,506,574
Tenterfield,18,9,5,0,55,0,508,596
Moree,49,26,7,0,112,0,915,1110
Moree Region,14,8,0,0,79,0,553,651
Narrabri,29,13,5,0,68,0,785,891
Narrabri Region,3,0,0,0,74,0,477,550
Gunnedah,27,20,3,0,73,0,1031,1154
Gunnedah Region,8,0,0,0,27,0,381,421
Quirindi,11,4,0,0,65,0,731,812
Tamworth - East,78,79,25,8,139,5,2182,2513
Tamworth - North,106,70,17,3,122,3,1655,1969
Tamworth - West,16,31,11,0,66,0,639,763
Tamworth Region,38,7,3,0,132,0,1827,2005
Belmont - Bennetts Green,67,33,3,0,62,0,1788,1955
