SA2,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
West Wallsend - Barnsley - Killingworth,23,94,0,509,4,247,885
Adamstown - Kotara,112,332,25,1231,16,436,2150
Beresfield - Hexham,17,75,6,532,5,405,1035
Hamilton - Broadmeadow,92,201,13,875,6,406,1590
Lambton - New Lambton,127,369,20,1221,11,500,2246
Maryland - Fletcher - Minmi,89,280,18,1202,17,482,2085
Mayfield - Warabrook,140,295,26,1227,17,657,2356
Merewether - The Junction,89,289,20,1112,13,308,1834
Newcastle - Cooks Hill,101,272,15,964,7,409,1765
Newcastle Port - Kooragang,0,0,0,0,0,5,5
Shortland - Jesmond,49,94,7,593,9,658,1406
Stockton - Fullerton Cove,38,95,6,380,6,219,740
Wallsend - Elermore Vale,81,316,21,1338,12,770,2537
Waratah - North Lambton,88,202,18,914,8,455,1686
Wickham - Carrington - Tighes Hill,83,221,21,818,5,301,1460
Ballina,26,139,21,915,10,549,1654
Ballina Region,33,192,17,927,14,516,1700
Bangalow,16,43,4,407,11,215,702
Brunswick Heads - Ocean Shores,15,64,10,567,3,381,1047
Byron Bay,19,76,8,928,16,477,1510
Evans Head,6,41,5,271,0,169,501
Lennox Head - Skennars Head,25,118,10,571,14,215,948
Mullumbimby,10,57,11,455,9,358,892
Casino,17,95,14,603,7,541,1288
Casino Region,9,53,8,284,5,274,628
Goonellabah,48,163,15,867,9,491,1594
Kyogle,11,59,13,278,5,285,640
Lismore,44,183,17,886,8,726,1862
Lismore Region,51,174,8,791,8,586,1614
Kingscliff - Fingal Head,34,172,15,884,12,408,1528
Murwillumbah,13,67,13,491,11,346,941
Murwillumbah Region,20,69,17,468,6,370,945
Pottsville,21,145,19,855,12,508,1574
Tweed Heads,41,150,10,1094,17,723,2038
Banora Point,38,133,9,950,9,422,1553
Terranora - North Tumblegum,16,35,6,208,4,100,359
Tweed Heads South,9,36,6,403,7,276,732
Griffith (NSW),21,271,33,1396,14,835,2565
Griffith Region,8,148,32,816,8,472,1492
Leeton,3,107,21,579,4,371,1087
Narrandera,12,79,5,307,5,224,625
Tumbarumba,0,32,18,153,0,118,319
Tumut,4,71,13,364,3,243,691
Tumut Region,3,41,4,284,8,143,485
Cootamundra,9,84,10,380,5,260,743
Gundagai,8,37,10,213,3,114,380
Junee,21,47,6,334,0,187,592
Temora,11,70,9,349,0,201,648
Wagga Wagga - East,85,256,35,1203,10,514,2114
Wagga Wagga - North,47,80,11,315,6,143,602
Wagga Wagga - South,162,334,33,1521,19,795,2874
Wagga Wagga - West,103,203,8,799,9,526,1651
Wagga Wagga Region,88,149,32,904,11,484,1672
Berry - Kangaroo Valley,18,88,13,413,3,202,735
Callala Bay - Currarong,3,28,4,153,0,109,297
Culburra Beach,9,34,7,220,0,156,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,3
Huskisson - Vincentia,24,66,12,214,3,125,438
North Nowra - Bomaderry,47,164,37,909,8,543,1698
Nowra,99,201,21,1131,13,944,2411
St Georges Basin - Erowal Bay,36,129,17,621,10,508,1322
Sussex Inlet - Berrara,0,24,0,152,0,99,280
Tomerong - Wandandian - Woollamia,9,45,11,176,4,94,333
Ulladulla,13,101,10,782,4,437,1349
Ulladulla Region,9,20,3,222,3,135,391
Bowral,6,76,6,613,9,301,1013
Hill Top - Colo Vale,5,64,5,444,3,237,758
Mittagong,20,58,7,586,6,239,918
Moss Vale - Berrima,10,87,23,647,6,334,1113
Robertson - Fitzroy Falls,3,28,5,211,0,95,346
Southern Highlands,7,41,11,338,5,147,550
Baulkham Hills (East),80,335,7,2131,26,937,3517
Baulkham Hills (West) - Bella Vista,47,253,25,1597,16,594,2539
Glenhaven,10,51,4,361,4,131,560
West Pennant Hills,38,122,17,866,10,330,1391
Castle Hill - Central,19,93,6,709,8,317,1153
Castle Hill - East,11,37,0,287,0,111,449
Castle Hill - North,35,106,11,808,9,367,1332
Castle Hill - South,27,99,13,794,14,357,1306
Castle Hill - West,18,63,8,417,10,168,680
Cherrybrook,76,171,5,1251,26,518,2050
Kellyville,79,324,15,2148,26,795,3388
Dural - Kenthurst - Wisemans Ferry,24,170,12,1397,13,569,2186
Galston - Laughtondale,13,36,9,329,9,139,524
Bilpin - Colo - St Albans,8,16,0,150,3,101,282
Kurrajong Heights - Ebenezer,63,276,28,1586,20,595,2562
Pitt Town - McGraths Hill,24,108,11,946,10,272,1373
Rouse Hill - Beaumont Hills,55,325,22,2209,23,798,3430
Blacktown (East) - Kings Park,38,209,31,1695,33,1217,3216
Blacktown (North) - Marayong,53,212,25,1431,35,991,2749
Doonside - Woodcroft,75,312,23,1803,34,1201,3449
Lalor Park - Kings Langley,76,357,18,2037,33,1014,3544
Seven Hills - Toongabbie,70,352,27,1912,32,1173,3571
Blacktown (South),26,128,10,948,24,701,1837
Blacktown (West),49,171,15,1264,28,858,2389
Glenwood,66,275,16,1445,22,614,2432
Parklea - Kellyville Ridge,133,640,46,3631,50,1484,5976
Riverstone - Marsden Park,62,266,18,1710,25,835,2914
Acacia Gardens,16,74,3,395,0,143,643
Quakers Hill,83,419,39,2217,28,1072,3856
Bidwill - Hebersham - Emerton,23,106,8,918,28,1420,2497
